"",Ac,At,Bg,Bl,Cw,Dr,Ep,Fd,Hm,Hw,Lw,Mb,Pa,Pl,Pw,Py,Sb,Ss,Sx,Yc
Lw,0.00301763964561258,0.264402864920829,0.159928482592222,0.115648083069364,0.119224648297376,-0.129188534749284,0.282177236500569,0.434376358410992,-0.10969171606865,0.0286920690080161,1,-0.0511880679428266,0.0189030203105076,0.28496863488826,0.256203068627693,0.0809070370487293,-0.126877130586491,-0.131837534562576,0.137830260317374,-0.101638817643248
Mb,0.276735912122725,-0.170203551855047,0.343255411488085,-0.207207275569577,0.344181901316045,0.594208766940059,0.0909963582804736,0.187463021801998,-0.0716621507882764,0.261661760555505,-0.0511880679428266,1,-0.0693326651647539,-0.19298308096414,0.201809072723048,-0.0796138968719315,-0.084240727545046,0.19259485732976,-0.217571859281646,-0.040625305063869
Pa,-0.136820603559898,-0.131474424764482,-0.0553880576220177,0.217279306340102,-0.13792384271889,-0.0964559138911122,-0.134760006496716,0.00039808121126722,0.00720713708843457,-0.127750209392979,0.0189030203105076,-0.0693326651647539,1,0.204278382371257,-0.00860183038633751,-0.0624016436623266,-0.0818695477801883,-0.0789987762274409,0.0693905579441092,-0.0549076072707996
Pl,-0.100330368820161,0.239737672455888,-0.119335307990169,0.313814028340785,-0.139249566290331,-0.234400933368252,0.072727084119695,0.0614296993249067,-0.11823010745128,-0.155809958053937,0.28496863488826,-0.19298308096414,0.204278382371257,1,-0.0227638277144664,-0.168376531941651,0.0451149189354994,-0.208271003973336,0.351274469379024,-0.117205334888081
Pw,0.122875048777032,0.0349963400170178,0.305994199628398,-0.0152716490232554,0.36452886571952,0.0943419912743284,0.199870197142275,0.263985868244416,0.070975564124128,0.326153770096917,0.256203068627693,0.201809072723048,-0.00860183038633751,-0.0227638277144664,1,-0.0195986643327751,-0.0963498259547698,-0.0390921268466855,-0.0314915242712761,0.00212290756239013
Py,-0.150348004605121,0.00149329016808417,0.0748114311780513,-0.280936228434121,-0.155781279655859,-0.142722645432365,-0.054289008579603,0.360871428228954,-0.109185906463912,-0.190232931289688,0.0809070370487293,-0.0796138968719315,-0.0624016436623266,-0.168376531941651,-0.0195986643327751,1,-0.123387933457427,-0.119061311667932,-0.303784717930632,-0.102069498610305
Sb,-0.0464136657727594,0.0419933040035822,-0.0890758457125337,-0.164945017371659,-0.177395919498735,-0.11719607695595,0.00306797239686765,-0.240536467922087,-0.0908422153179199,-0.173808876756879,-0.126877130586491,-0.084240727545046,-0.0818695477801883,0.0451149189354994,-0.0963498259547698,-0.123387933457427,1,-0.0959852670996269,0.0208520505496,-0.0822867474714202
Ss,0.0592757509774478,-0.193932719507628,-0.0185957430337541,-0.192034227465378,0.417713856853587,0.610909965521508,-0.0720069062127144,-0.152221514542983,0.176386199351288,0.453807385385638,-0.131837534562576,0.19259485732976,-0.0789987762274409,-0.208271003973336,-0.0390921268466855,-0.119061311667932,-0.0959852670996269,1,-0.254448814304404,0.438987334823975
Sx,0.223680958541674,0.311446715021392,-0.0789424872168744,0.622963176193006,-0.112611397211797,-0.321539394240524,0.249729693773826,-0.153954960269879,-0.103338459851634,-0.122933811558749,0.137830260317374,-0.217571859281646,0.0693905579441092,0.351274469379024,-0.0314915242712761,-0.303784717930632,0.0208520505496,-0.254448814304404,1,-0.21043165365015
Yc,-0.102472108553497,-0.166255647338111,-0.0624507759543101,-0.143970034423424,0.258169830099991,0.22054651301441,-0.123754128785346,-0.157887101934155,0.454431327118978,0.375785336275963,-0.101638817643248,-0.040625305063869,-0.0549076072707996,-0.117205334888081,0.00212290756239013,-0.102069498610305,-0.0822867474714202,0.438987334823975,-0.21043165365015,1
